restaurant	x	y
r1	8601	10567
r2	7182	11621
r3	8616	10275
r4	11575	5319
r5	2821	9735
r6	10250	7950
r7	9386	11828
r8	4337	7758
r9	8810	9930
r10	6392	8406
r11	8510	8047
r12	7541	9908
r13	8445	7891
r14	8544	7901
r15	8872	9923
r16	9772	11566
r17	6674	11669
r18	9885	11539
r19	8394	7902
r20	8565	9680
r21	8589	6871
r22	7101	11669
r23	5604	9645
r24	10221	8471
r25	4559	7976
r26	9277	6446
r27	8582	10197
r28	8699	6424
r29	9025	8670
r30	9238	7572
r31	5952	10228
r32	6333	8435
r33	10086	8444
r34	10381	10429
r35	6874	11817
r36	9793	11619
r37	7372	7284
r38	9205	10293
r39	9749	11581
r40	6386	8460
r41	8560	7038
r42	9117	7836
r43	10049	3933
r44	8844	10193
r45	10079	10791
r46	10028	9787
r47	9429	11839
r48	8860	6366
r49	9738	9245
r50	8490	7518
r51	9757	10971
r52	10112	10866
r53	8899	9652
r54	8562	8985
r55	9277	10027
r56	9912	11102
r57	8778	8689
r58	8901	8061
r59	4719	10091
r60	9321	8519
r61	4963	9196
r62	3570	6703
r63	8597	5571
r64	7489	7431
r65	7912	11478
r66	6888	11755
r67	7760	8694
r68	4819	7767
r69	4466	7720
r70	10004	11338
r71	8432	11289
r72	8519	7647
r73	9932	9855
r74	8650	5634
r75	9581	6839
r76	7638	11527
r77	6329	10314
r78	7508	10083
r79	9976	9940
r80	9994	11319
r81	8555	7295
r82	4606	5065
r83	8542	7818
r84	9976	11397
r85	9417	6495
r86	6346	8426
r87	7764	10178
r88	4604	7605
r89	8041	11464
r90	2057	9056
r91	6857	10366
r92	8880	12508
r93	730	8933
r94	4725	9825
r95	9006	10173
r96	10073	11054
r97	9090	9114
r98	10242	7984
r99	7858	11582
r100	8610	10572
r101	10170	10068
r102	8739	7229
r103	10309	10807
r104	10072	11076
r105	10662	11194
r106	10183	8414
r107	9591	11204
r108	9561	10300
r109	2747	9532
r110	7727	8652
r111	10030	10572
r112	5075	9698
r113	3504	9538
r114	7440	7417
r115	9124	12627
r116	4929	9691
r117	8796	7046
r118	8784	10471
r119	7373	6338
r120	3594	7681
