courier	x	y	on_time	off_time
c1	8291	7604	0	90
c2	8291	7600	0	240
c3	8144	6569	30	150
c4	9516	6451	60	150
c5	7271	9935	90	180
c6	7793	4023	90	210
c7	8124	8204	90	210
c8	8803	9627	120	240
c9	8813	9715	120	300
c10	7816	8816	120	300
c11	9244	2531	120	360
c12	9279	9251	165	255
c13	5889	10160	165	285
c14	7778	6368	165	285
c15	7701	6334	165	285
c16	6067	10282	195	315
c17	6907	10041	195	315
c18	8064	8678	210	330
c19	7745	6424	255	345
c20	7814	6393	255	345
c21	5146	8774	285	375
c22	5219	8814	285	405
c23	8325	6365	300	420
c24	8179	7211	315	405
c25	7721	6201	330	420
c26	7764	6233	330	420
c27	4302	8164	345	435
c28	9327	2511	360	600
c29	2674	8086	375	465
c30	5607	6925	375	465
c31	8384	6437	390	630
c32	8109	8757	435	525
c33	8048	8664	435	555
c34	8109	8407	450	690
c35	8100	8415	450	690
c36	8501	8593	480	720
c37	5552	6919	480	720
c38	5189	8781	495	675
c39	5171	8744	495	675
c40	7679	6202	495	735
c41	8177	7254	495	735
c42	7683	6239	495	735
c43	7719	6186	525	765
c44	7768	6155	525	765
c45	8652	10352	555	795
c46	8616	10299	555	795
c47	7692	6194	570	660
c48	8104	8405	570	750
c49	3625	6218	570	750
c50	8048	8419	585	765
c51	8105	8425	585	825
c52	8980	10061	585	825
c53	8051	8467	600	780
c54	7824	8629	600	780
c55	7799	6415	630	720
c56	7811	6365	660	840
c57	8118	8706	660	840
c58	8147	11043	780	870
