order	x	y	placement_time	restaurant	ready_time
o1	6597	6853	357	r1	376
o2	8359	10226	278	r2	300
o3	11044	8550	335	r3	348
o4	6020	8902	739	r4	746
o5	6352	12059	785	r5	810
o6	7407	9112	800	r3	820
o7	7765	10364	339	r6	351
o8	3070	9852	655	r7	665
o9	10859	10326	705	r8	725
o10	6036	9142	790	r9	806
o11	768	4510	285	r10	328
o12	7413	9792	638	r11	693
o13	8651	10948	813	r12	818
o14	8737	9091	874	r13	899
o15	651	8790	603	r11	623
o16	6883	6890	529	r14	559
o17	9002	7687	585	r15	605
o18	7041	9392	476	r16	486
o19	8051	10374	621	r9	646
o20	6404	8985	639	r16	649
o21	1859	9076	636	r17	643
o22	7065	12033	677	r18	687
o23	6205	6814	731	r19	741
o24	5728	7656	642	r20	651
o25	9913	10187	882	r6	900
o26	8718	10042	386	r21	392
o27	9182	9424	772	r22	802
o28	9660	9494	535	r2	545
o29	5704	8051	408	r2	415
o30	8308	7444	544	r16	554
o31	8040	9530	261	r23	323
o32	7497	6695	721	r24	739
o33	7102	10971	835	r25	865
o34	9154	10993	689	r26	716
o35	8732	11241	675	r27	702
o36	8883	9224	309	r28	320
o37	8022	7005	491	r3	498
o38	8883	5816	762	r20	784
o39	9228	10650	874	r6	883
o40	9716	10874	814	r29	829
o41	5751	8824	328	r14	358
o42	10188	11301	931	r9	946
o43	7975	12014	342	r30	357
o44	10842	9327	723	r31	743
o45	5963	7846	772	r32	786
o46	8262	9773	365	r33	376
o47	7942	11572	689	r34	702
o48	4914	9107	352	r35	364
o49	10879	10278	841	r9	864
o50	7549	10080	783	r36	789
o51	6700	10234	229	r37	242
o52	3167	11566	820	r4	830
o53	8774	8956	758	r15	767
o54	7494	10463	708	r38	738
o55	10444	9446	690	r6	697
o56	8083	10717	777	r16	821
o57	7921	9870	369	r39	384
o58	9763	10748	812	r40	836
o59	6067	11456	775	r41	787
o60	8547	8124	906	r20	926
o61	6667	8877	439	r42	460
o62	10734	9707	951	r43	959
o63	8369	10392	283	r21	297
o64	7088	5932	766	r44	796
o65	5969	8336	869	r45	885
o66	10535	9572	871	r9	884
o67	6024	7939	563	r46	582
o68	7864	10949	797	r29	812
o69	6686	7984	722	r47	727
o70	7844	11931	282	r37	303
o71	3821	7349	869	r46	884
o72	3713	4835	799	r48	819
o73	7627	11474	782	r49	797
o74	6044	8151	783	r34	823
o75	6667	5934	220	r23	260
o76	9288	10790	613	r50	638
o77	6809	7842	787	r16	822
o78	8570	10271	836	r14	866
o79	10209	9109	264	r42	274
o80	9886	10299	614	r31	635
o81	9335	5482	684	r51	711
o82	4973	8778	914	r34	924
o83	8441	8886	968	r52	998
o84	8161	10226	845	r11	886
o85	2033	9451	525	r53	546
o86	8127	10894	947	r20	967
o87	7980	10177	935	r9	939
o88	7304	4950	311	r54	352
o89	9125	10050	696	r31	706
o90	8560	7813	783	r55	798
o91	8517	8032	595	r16	605
o92	7681	11168	509	r56	524
o93	6494	9529	332	r20	357
o94	9899	10194	312	r57	337
o95	8454	11065	770	r40	792
o96	5733	9118	937	r20	943
o97	8603	10318	769	r49	784
o98	6060	9779	272	r2	300
o99	9728	6218	649	r14	679
o100	2045	3896	192	r58	226
o101	5263	7654	782	r46	796
o102	6044	11811	553	r41	573
o103	9353	10885	884	r42	899
o104	8811	11307	809	r59	829
o105	8672	10510	834	r60	845
o106	2120	6522	855	r17	876
o107	9072	9868	782	r42	813
o108	8896	9151	879	r8	897
o109	9495	4220	911	r20	926
o110	8919	11182	717	r61	751
o111	1739	7475	853	r19	873
o112	9225	11565	363	r16	378
o113	6270	5623	443	r24	463
o114	6632	5997	720	r24	745
o115	8851	6976	673	r26	702
o116	7124	9588	849	r62	869
o117	5512	9138	644	r63	655
o118	1183	9175	490	r11	510
o119	8755	10418	584	r30	599
o120	8157	10574	343	r52	373
o121	7711	12089	713	r64	724
o122	7614	11069	837	r65	848
o123	6438	9618	914	r41	928
o124	1116	9021	806	r2	816
o125	10716	9379	295	r66	320
o126	9388	6452	742	r34	778
o127	8039	8785	742	r26	774
o128	9600	3931	896	r20	911
o129	7360	8834	903	r13	916
o130	2782	9316	505	r11	535
o131	7434	8922	803	r67	842
o132	7442	11749	791	r20	811
o133	8511	9671	576	r66	611
o134	3988	5919	805	r68	822
o135	9965	10026	547	r69	548
o136	8611	10244	333	r39	362
o137	6222	8152	357	r35	367
o138	449	8809	811	r70	839
o139	8966	10602	539	r20	568
o140	8661	6194	449	r42	472
o141	8528	9110	400	r16	410
o142	7295	7474	717	r6	724
o143	3848	9489	859	r71	886
o144	7686	5867	653	r16	663
o145	7529	8989	850	r72	876
o146	6021	7213	758	r71	773
o147	8047	10434	939	r20	957
o148	8218	9771	612	r16	622
o149	8655	10332	533	r41	548
o150	10684	9417	780	r73	802
o151	3603	9632	837	r11	886
o152	7732	11257	856	r3	883
o153	7771	6646	376	r47	380
o154	8133	9016	864	r40	884
o155	10865	10319	417	r27	452
o156	5246	10091	985	r20	996
o157	8258	6516	492	r74	512
o158	9135	12434	731	r9	757
o159	7771	10227	347	r75	356
o160	9730	10504	442	r40	453
o161	10517	10075	590	r47	593
o162	4874	9722	751	r76	761
o163	6518	6879	847	r32	862
o164	3610	5180	396	r77	407
o165	9206	12155	478	r39	493
o166	6854	6893	871	r24	883
o167	8894	9523	822	r9	850
o168	9896	10185	451	r20	476
o169	5358	7737	831	r44	856
o170	565	7071	336	r11	371
o171	6073	11430	725	r45	755
o172	9150	11641	450	r78	467
o173	3140	9682	822	r6	831
o174	2954	9508	731	r41	745
o175	8548	8942	513	r79	528
o176	5666	9012	595	r80	625
o177	8656	10865	478	r9	498
o178	10940	9993	418	r81	437
o179	6885	6207	805	r82	810
o180	8432	10446	846	r60	875
o181	8712	6103	289	r55	298
o182	9112	11064	692	r9	710
o183	8395	10034	760	r76	764
o184	798	6410	330	r83	335
o185	7025	10821	806	r84	827
o186	8498	8988	782	r43	786
o187	9147	10240	954	r20	967
o188	6622	3712	941	r24	949
o189	1915	7490	574	r11	604
o190	7713	11149	866	r85	896
