restaurant	x	y
r1	9321	7005
r2	5690	5485
r3	6140	8846
r4	7003	5678
r5	8406	6130
r6	7900	2582
r7	8942	3736
r8	7228	4675
r9	8224	7214
r10	2847	2416
r11	7830	4752
r12	8574	6225
r13	7855	4927
r14	8231	9580
r15	7948	7152
r16	9011	6988
r17	7175	8567
r18	8868	7367
r19	7845	7645
r20	2153	6793
r21	7798	4900
r22	436	3501
r23	7902	3513
r24	7714	5684
r25	7027	7206
r26	9210	8606
r27	6699	4711
r28	5241	7312
r29	6781	4485
r30	9164	8590
r31	8555	7025
r32	3595	4733
r33	4004	4825
r34	3659	6881
r35	3855	2117
r36	7173	8560
r37	4411	6704
r38	9087	8644
r39	4272	6226
r40	3900	4593
r41	34	5902
r42	7002	8496
r43	5519	8563
r44	3922	6880
r45	8243	5732
r46	6650	4250
r47	6794	6745
r48	2900	6623
r49	2883	4675
r50	6853	4461
r51	9445	6429
r52	8913	7031
r53	8928	3909
r54	9316	1043
r55	9056	8125
r56	9223	8460
r57	7246	4469
r58	5674	5475
r59	6102	7411
r60	7855	3914
r61	9064	8616
r62	4183	6915
r63	10198	6564
r64	7531	4858
r65	6555	8615
r66	9363	6862
r67	7879	4360
r68	2803	4718
r69	7949	7479
r70	2774	6584
