order	x	y	placement_time	restaurant	ready_time
o1	20289	11634	10	r1	18
o2	19692	17285	18	r2	35
o3	19463	16684	20	r2	32
o4	15994	15936	24	r3	62
o5	19078	13280	24	r4	32
o6	12921	17610	24	r5	25
o7	19871	11968	30	r1	34
o8	20084	15003	32	r2	39
o9	19455	15703	33	r2	43
o10	14943	19096	34	r6	49
o11	16774	21655	41	r7	44
o12	19724	14323	45	r2	48
o13	19730	14528	45	r5	53
o14	18861	16979	46	r2	52
o15	17470	20461	46	r7	48
o16	19159	16234	52	r2	70
o17	17447	14700	52	r4	56
o18	19232	15270	56	r1	63
o19	16016	16841	60	r5	61
o20	18651	20812	62	r8	92
o21	18610	20539	63	r9	83
o22	15135	15904	63	r3	81
o23	17452	21622	63	r10	79
o24	18336	18436	63	r10	87
o25	17759	19016	64	r10	85
o26	20228	11742	65	r11	80
o27	19877	14757	65	r2	72
o28	13988	20734	65	r12	70
o29	17538	20361	66	r13	70
o30	3033	21378	66	r14	81
o31	17689	20882	67	r9	111
o32	12935	21250	67	r15	80
o33	17708	24108	68	r10	85
o34	16997	19718	68	r3	98
o35	18341	21058	69	r16	74
o36	17053	13294	69	r17	79
o37	17487	21614	69	r10	90
o38	15409	22711	71	r10	100
o39	18346	15849	71	r18	96
o40	15918	24154	71	r19	78
o41	10717	24129	71	r20	96
o42	14480	17866	72	r3	95
o43	16091	17397	73	r18	98
o44	18623	19315	73	r9	86
o45	16415	17358	73	r10	90
o46	20311	16279	74	r21	84
o47	19093	18016	74	r9	97
o48	18581	19268	75	r10	96
o49	20087	12004	75	r22	92
o50	13009	18151	75	r3	104
o51	16041	21851	75	r10	100
o52	18483	19290	76	r6	111
o53	20124	15089	76	r23	82
o54	17972	14133	77	r24	113
o55	15428	24848	77	r19	88
o56	18258	14067	77	r25	101
o57	16459	21171	78	r26	90
o58	18102	22488	78	r7	80
o59	17720	23265	78	r10	101
o60	16699	23766	78	r10	105
o61	20325	15309	78	r3	210
o62	19372	15542	79	r1	83
o63	16979	20129	80	r10	104
o64	18706	20344	81	r13	91
o65	14923	16637	81	r27	137
o66	17527	21992	81	r16	86
o67	18811	14685	82	r10	109
o68	19860	14823	82	r22	92
o69	18188	20067	82	r10	114
o70	18581	14763	83	r1	91
o71	18569	15445	83	r28	85
o72	13565	16263	84	r3	114
o73	14114	15977	84	r3	131
o74	19050	17065	84	r9	106
o75	19480	16950	84	r18	109
o76	15831	25468	84	r26	94
o77	18554	20895	85	r29	99
o78	15576	15014	86	r3	122
o79	16075	17500	86	r30	106
o80	16186	19826	86	r3	125
o81	16918	21911	87	r31	118
o82	19604	12118	87	r32	102
o83	16484	21264	87	r33	104
o84	18690	20452	88	r10	114
o85	16557	21412	88	r10	133
o86	17963	15282	88	r28	92
o87	18661	20385	88	r9	111
o88	20326	15612	89	r2	97
o89	20121	16367	89	r10	133
o90	18120	19269	90	r34	100
o91	16156	22416	90	r10	115
o92	18005	18467	90	r16	95
o93	15533	22358	90	r10	133
o94	15162	24227	91	r26	98
o95	15365	15927	93	r3	122
o96	15703	15806	93	r3	130
o97	17156	11669	93	r17	103
o98	18214	21911	93	r8	99
o99	17132	19626	94	r10	139
o100	12612	17523	94	r29	99
o101	15437	23722	94	r10	151
o102	19404	16824	94	r10	109
o103	15183	16817	95	r3	119
o104	14371	16289	95	r3	118
o105	14993	15537	95	r35	101
o106	14338	15997	95	r3	118
o107	17201	23351	95	r31	126
o108	19020	14655	96	r30	127
o109	15216	17778	96	r35	101
o110	16785	20878	97	r36	125
o111	14449	16510	97	r3	121
o112	16346	20569	97	r37	122
o113	18858	15642	97	r3	130
o114	19707	16291	97	r10	174
o115	18206	21115	98	r10	128
o116	20282	15622	99	r23	101
o117	19175	16266	99	r10	174
o118	14491	19092	99	r38	105
o119	19355	16985	100	r39	113
o120	12840	23305	100	r38	105
o121	14781	18662	100	r5	114
o122	16753	24624	100	r31	126
o123	15156	24206	101	r26	109
o124	14781	18170	102	r3	155
o125	17143	19326	103	r40	118
o126	16789	21273	103	r10	157
o127	15035	18782	103	r10	157
o128	19028	15578	103	r8	133
o129	13016	18291	103	r8	133
o130	16170	16930	104	r30	128
o131	14567	17799	104	r3	158
o132	15648	17303	104	r3	132
o133	14388	19207	104	r41	134
o134	16167	23145	104	r10	184
o135	20484	15676	104	r10	119
o136	17969	20734	105	r41	134
o137	15186	17772	105	r35	125
o138	17454	22692	105	r15	117
o139	18443	19961	105	r42	130
o140	18639	19814	106	r43	113
o141	14042	17048	106	r3	188
o142	15350	17417	106	r3	192
o143	16108	18009	106	r3	185
o144	14609	18253	107	r8	133
o145	19035	17998	107	r42	132
o146	5659	26151	107	r44	112
o147	13654	18219	108	r3	159
o148	18101	22304	108	r10	171
o149	18871	18197	108	r2	149
o150	19332	17201	109	r45	131
o151	18386	14357	109	r3	129
o152	13836	18237	109	r3	188
o153	11776	19367	110	r3	124
o154	18217	19580	110	r46	124
o155	19746	11009	110	r4	114
o156	19308	13458	111	r47	129
o157	13223	19609	111	r38	115
o158	18647	20405	111	r42	137
o159	18296	14842	111	r3	193
o160	16587	20823	111	r33	124
o161	8744	30160	111	r44	114
o162	19125	17870	111	r23	113
o163	18247	20805	112	r13	114
o164	17734	18155	112	r24	136
o165	18686	20767	113	r10	182
o166	13352	19592	113	r10	176
o167	13290	18310	113	r3	188
o168	18518	16858	114	r10	129
o169	19799	16277	115	r39	143
o170	19725	12226	115	r48	137
o171	16780	22155	115	r7	117
o172	18619	20458	116	r7	119
o173	16884	21367	117	r12	122
o174	19356	16683	117	r28	118
o175	19763	11621	117	r32	132
o176	18891	18418	118	r3	194
o177	16220	19812	118	r3	210
o178	17201	12253	118	r49	129
o179	19510	16773	119	r50	134
o180	16248	14299	119	r3	203
o181	18417	20088	119	r45	136
o182	17547	19048	119	r47	129
o183	16558	15503	119	r35	140
o184	15005	16049	120	r3	130
o185	20314	15749	120	r24	136
o186	15004	22710	120	r7	123
o187	11732	19418	121	r38	126
o188	18503	15435	121	r22	131
o189	18379	20954	121	r41	134
o190	20108	16323	121	r39	143
o191	11745	22598	122	r38	129
o192	19701	14892	122	r30	140
o193	19834	15569	123	r35	140
o194	16203	23590	123	r19	134
o195	15158	17819	124	r29	135
o196	13017	19293	125	r38	129
o197	14919	16756	125	r35	141
o198	17304	22294	126	r7	128
o199	14062	17554	126	r3	141
