courier	x	y	on_time	off_time
c1	29862	14730	0	180
c2	22584	19791	0	180
c3	22459	24052	0	180
c4	20960	6453	0	240
c5	23669	3144	0	240
c6	22405	5855	0	240
c7	19897	19367	60	155
c8	25396	13467	60	240
c9	25163	19599	60	240
c10	30250	16561	60	240
c11	25295	24245	60	240
c12	30802	15944	60	240
c13	31755	14539	60	240
c14	23039	9763	60	240
c15	26389	24607	60	240
c16	23343	17414	60	240
c17	26329	24626	60	240
c18	19309	17243	60	240
c19	30757	15938	60	240
c20	28868	17511	60	240
c21	23810	14760	60	240
c22	28825	18915	60	261
c23	23635	13231	135	300
c24	22392	24058	150	300
c25	24788	18757	180	285
c26	19531	23831	180	375
c27	25964	14459	180	420
c28	26394	25137	180	420
c29	28484	23608	180	420
c30	28210	11786	180	420
c31	25963	14389	180	420
c32	24367	10950	180	430
c33	24760	14838	210	330
c34	21978	22215	225	420
c35	28050	16649	240	315
c36	25220	12561	240	420
c37	24320	25372	240	420
c38	31015	14939	240	420
c39	29270	17383	240	420
c40	17194	33892	240	420
c41	17660	32538	240	420
c42	24321	25346	240	420
c43	22619	17895	240	420
c44	22886	9886	240	420
c45	30087	21081	240	420
c46	29350	5169	240	420
c47	29153	23795	240	420
c48	17120	33933	240	420
c49	24128	18090	240	432
c50	25121	16816	300	420
c51	21859	20797	360	420
c52	19886	18168	360	555
c53	28509	17919	360	600
c54	29996	19679	360	600
c55	26589	25552	360	600
c56	29311	20037	360	600
c57	22181	25269	360	600
c58	29920	19686	360	600
c59	26480	23597	360	600
c60	24490	23360	360	660
c61	29872	20532	420	480
c62	27775	25114	420	570
c63	25356	15202	420	585
c64	25058	25365	420	600
c65	31928	6732	420	660
c66	22488	12814	420	660
c67	22194	3523	420	660
c68	29417	22596	420	660
c69	3745	23624	420	660
c70	29340	22556	420	660
c71	24303	18944	420	660
c72	27027	12960	420	660
c73	21756	9788	420	660
c74	27703	11792	420	660
c75	21582	17244	420	660
c76	21992	13830	420	660
c77	21748	9771	420	660
c78	31870	5347	420	660
c79	3815	23537	420	660
c80	24802	20301	420	660
c81	22524	12832	420	660
c82	25449	14841	420	660
c83	24040	4506	420	660
c84	22594	13446	420	660
c85	25504	14880	420	660
c86	31920	5311	420	660
c87	26056	7825	420	660
c88	26553	10789	420	660
c89	21809	9778	420	660
c90	21584	9584	420	660
c91	26471	18503	420	675
c92	24034	19630	420	705
c93	23542	20018	420	720
c94	26680	13893	420	720
c95	20240	13761	420	720
c96	24912	19126	420	720
c97	25361	15031	420	720
c98	23484	20044	420	720
c99	23353	12996	420	727
c100	22528	22254	450	720
c101	27151	17764	480	540
c102	21524	12134	480	660
c103	21077	21323	480	720
c104	26755	25610	480	720
c105	25954	10719	480	720
c106	28645	18532	480	720
c107	27017	10534	480	720
c108	20391	13407	480	720
c109	20402	13460	480	720
c110	28719	15702	480	765
c111	20776	22138	480	780
c112	24992	5576	540	660
c113	26981	15994	585	660
c114	22793	23450	615	660
c115	26303	21315	630	720
c116	24779	13838	640	810
c117	21142	19651	660	720
c118	21042	21796	660	720
c119	23533	12115	660	750
c120	31236	4857	660	780
c121	26473	11465	660	810
c122	22977	16075	660	810
c123	26468	23843	660	810
c124	21439	19594	660	810
c125	22489	18597	660	810
c126	30041	7402	660	810
c127	20878	17407	660	810
c128	19502	22413	660	810
c129	23188	23393	660	810
c130	23142	12217	660	810
c131	29983	7338	660	810
c132	33708	5750	660	810
c133	29975	18805	660	810
c134	21045	22421	660	810
c135	23191	4875	660	830
